factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.005412919 -0.4097934 -0.4505516 -0.1935762 -0.2862372 0.1485191 0.07011152 0.003945334 0.01379062 -0.1180681 -0.1345376 0.03830787 0.09648968 -0.06228464 -0.1746888 -0.1153754 -0.08731515 0.3964979 -0.04367078 -0.2182425 0.02214519 0.1660922 0.02942957 0.03586646 0.08355966 -0.2102087 15408.61 3.202821 676.6171 -0.1411916 -0.07670731 -0.1214498 -0.07594214 -0.4108227 1.320977 -0.8043157 -32825.26 -38670.23 0.1170492 1.640771
0.03792167 -0.3138591 -0.4477454 -0.1221911 -0.2276308 0.2106666 0.1135331 0.01652996 -0.03068676 -0.1697497 -0.2409927 -0.1667572 0.02437873 -0.2233428 -0.2091828 -0.1846355 -0.3076921 0.1250361 0.04934115 -0.2509872 -0.04804058 0.03577266 -0.0768982 -0.0436781 -0.0187626 -0.3723114 47954.94 -9.251736 161954.6 -0.1846399 0.1401056 0.2882065 0.2314809 -0.09897481 0.6300219 0.3964522 6765.723 56710.56 -0.2957147 7.061884
0.02640177 -0.3654355 -0.3791996 -0.1342919 -0.230238 0.1790625 0.1442185 0.01981199 0.0618165 -0.03191772 -0.05442716 0.07051179 -0.0507659 -0.1868731 0.001355616 -0.109717 -0.1472911 0.4342795 -0.01011253 -0.1395083 0.04968542 0.1029661 -0.05365175 0.03366835 0.1180471 -0.4170076 22183.51 8.879852 213653.6 -0.4081503 -0.3006985 -0.1907998 -0.05048268 0.6222043 -0.1308308 -0.8711182 2294.615 55343.71 0.503242 12.82153
-0.06769304 -0.4090023 -0.3961658 -0.2585424 -0.2636966 0.162939 0.06484531 -0.0307211 0.07846616 -0.05433827 -0.09350895 0.101231 -0.08941429 -0.1329104 -0.2960161 0.01119353 -0.3069511 0.3606454 0.05063443 0.06992643 0.1137602 0.1934243 0.1080277 0.04240487 0.1520493 -0.3116594 21911.82 -0.4716143 -180193.2 0.0002765257 0.1794622 0.2346498 0.5394956 -0.05654482 1.195712 -0.1739901 82237.88 -86978.84 -0.3654817 2.26546
-0.0635207 -0.402355 -0.4808696 -0.2075087 -0.2830305 0.129063 0.06568448 0.0223173 0.05700041 -0.1594505 -0.08385251 0.01198976 0.0493755 -0.1024643 -0.1149189 -0.1667535 -0.1162426 0.1021094 -0.002724317 -0.01511369 -0.02987356 0.1168708 -0.01802901 -0.07327723 0.09019927 -0.5064177 54297.16 3.23758 -22647.91 -0.2088421 -0.204281 -0.2381051 -0.1312329 0.2102756 -0.1096262 -0.3752404 27861.72 -37991.47 0.1324332 -1.389396
-0.004548431 -0.3670014 -0.4302324 -0.117721 -0.2655393 0.1518216 0.1386502 0.06766156 -0.08723929 -0.1962581 -0.3444617 -0.1197971 0.002026397 -0.3957695 -0.5687624 -0.1582171 -0.3631937 -0.007530424 -0.105744 -0.04849088 -0.2130019 -0.03702428 -0.1030655 -0.05336675 -0.008267764 -0.6594191 -95436.61 3.952819 -142760.4 -0.58621 -0.5063196 -0.3311369 -0.1636889 0.3044949 0.0454192 -1.373455 50597.82 104792.9 -0.468738 4.956102
0.01418642 -0.3976568 -0.4264663 -0.09642139 -0.2086287 0.2196439 0.1374647 0.02896232 0.02339676 -0.1206797 -0.1906985 -0.1249185 -0.1754887 -0.1658663 -0.0822083 -0.1532958 -0.2278965 0.1377429 -0.05912513 0.07719084 -0.02437605 0.00386641 -0.06797895 0.1659858 0.01774416 -0.3681031 -29970.17 -2.512367 -46932.7 -0.2533382 -0.04778888 0.04874778 -0.1635309 0.3290379 0.7200517 0.7634659 -69991.37 125087.8 -0.6457733 -10.29346
0.01860693 -0.2857165 -0.3126085 -0.1029095 -0.1979914 0.2253648 0.1529074 -0.001769201 0.002361979 -0.1894497 -0.2537283 -0.0446412 0.009698299 -0.1234627 -0.05948495 -0.1692896 -0.2818684 0.25557 -0.03007667 -0.04561744 -0.03769907 0.05313061 -0.280031 -0.1192709 0.00754751 -0.3514346 -43590.22 -0.9845773 49481.83 -0.4566969 -0.1376241 0.03008217 0.04203878 -0.913097 0.1615595 -2.904712 -239519.6 8337.634 0.04162787 3.245466
0.01732699 -0.3839255 -0.5173426 -0.1668499 -0.2269435 0.1945411 0.1144854 0.07236051 0.0134325 -0.1024221 -0.1911864 -0.05465666 -0.08581316 -0.1645857 -0.3319072 -0.2286307 -0.278412 0.04055994 -0.0718797 -0.3345059 0.002736381 -0.08041287 -0.04725865 -0.07881855 0.01652695 -0.2700817 56780.02 1.84235 -92618.07 -0.4277856 0.1101948 -0.1689425 -0.2192487 -0.08129755 0.06925507 0.097604 139641.9 -136540.1 -0.270216 4.736117
0.03709233 -0.3641356 -0.4764966 -0.20585 -0.2769493 0.1642719 0.01646651 0.004731832 -0.009144176 -0.1236277 -0.09268631 -0.02450722 0.2735759 -0.1502621 -0.191155 -0.1627286 -0.2682941 0.1537052 -0.06646717 -0.2150393 -0.116236 0.02952776 -0.1190151 0.001140368 0.04757983 -0.3602403 -26944.7 -1.260218 -100019.4 -0.1382748 0.336461 0.1494989 -0.2355015 -1.072553 0.4516166 -2.655597 86925.72 -259224.3 -0.1895011 4.744629
