factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.6695879 -0.4977464 -0.7753789 -1.870199 -2.485307 -1.800052 -2.255716 0.2574926 -1.016393 -2.527532 -1.182315 -0.3391904 -3.469884 -3.026976 -2.079611 -2.167673 -4.315775 -3.484422 -1.578573 -0.2121992 -1.066691 -1.780621 -2.871902 -1.076555 -1.570191 -1.315149 2271.971 -101.8636 -1412.35 -1.110178 -1.810262 -1.785226 -1.041499 -6.776708 -5.031019 71.2045 -6776.065 5.758053 0.7266307 -14.06887
-1.107684 -1.347443 -0.7363293 -2.469505 -3.826411 -2.304294 -2.052824 -0.05965145 -0.4626493 -2.301316 0.1368551 0.1196148 -1.283131 -1.411454 -1.80517 -0.8111143 -3.629349 -0.838812 -1.153022 -1.444686 -0.9344318 -1.911311 -1.98494 -2.009555 -1.110259 0.8979558 1882.731 27.47227 -1068.009 -1.350544 -4.437593 -4.498637 -3.874422 5.00839 -12.98467 3.427382 -7780.127 10.63905 -0.805561 3.115714
-0.182087 0.1761794 -0.3940628 -1.859439 -2.569619 -2.095584 -1.099831 -0.06528948 -2.287366 -2.938868 -1.352831 -1.90149 -3.045664 -4.320443 -5.095867 -2.374571 -4.221847 -1.356126 -1.514874 -1.533838 -3.251305 -2.6066 -2.866252 -2.342987 -2.581901 -2.277207 1318.923 15.554 -1160.364 -1.64267 -3.750416 -1.813879 -3.61447 -0.900833 -5.046156 -33.28729 -1309.327 3.234518 0.9750478 -7.416037
-0.1735611 -0.3978156 -0.3228695 -1.484349 -2.272152 -1.583726 -1.739296 -0.008775098 -2.225403 -3.756568 -1.438906 -1.199441 -3.511859 -5.403939 -2.886814 -3.836633 -3.441532 -2.552064 -2.890847 -1.237942 -3.239035 -2.439001 -3.856468 -3.404468 -2.664997 -1.711023 1278.348 -15.92752 -1626.553 -3.557646 -2.104713 -3.290856 -4.592246 5.631635 -3.163008 -4.708435 5565.029 1.512247 -3.549246 19.06493
0.03882203 -0.1321937 -0.228579 -1.597288 -2.532421 -1.378054 -1.34754 -0.1728042 -1.531613 -3.140276 -1.267506 -1.11167 -3.2165 -3.587515 -0.8727145 -2.400107 -3.385741 0.7860456 -1.698705 -1.673018 -2.200728 -2.048769 -2.166605 -3.009327 -2.629472 -1.209155 1672.132 -47.84672 -1858.329 -3.913171 -3.868908 -4.893777 -3.286814 0.2398279 -9.453985 64.6123 3752.873 2.174305 1.507314 -14.34051
0.09238071 0.08877475 0.07180178 -1.69993 -2.137709 -1.337972 -1.603037 -0.09477241 -1.195073 -2.288654 -0.8420439 -0.793883 -3.029388 -3.953374 -2.89214 -1.91301 -4.032365 -1.249016 -2.483266 -1.34821 -2.022978 -1.646557 -3.691838 -1.986739 -2.094768 -0.5608024 1693.714 -34.79528 -1714.18 -0.5737149 -2.781298 -1.931388 -1.064145 5.311698 -1.461981 -13.1081 2383.799 -2.620569 -1.610165 -21.02772
0.1618818 0.144238 0.1101366 -1.720639 -3.303309 -1.658039 -1.706253 0.5190192 -0.9102856 -2.124323 -0.9206851 0.04012232 -3.614557 -3.172867 -2.60818 -1.436693 -3.63675 -3.293217 -0.909653 -2.022836 -1.002327 -1.298392 -1.890875 -1.541495 -1.911099 0.9533372 1710.589 31.37536 -1415.756 -4.774486 -3.920878 -2.63407 -3.258864 -2.291073 -6.91813 -45.07541 -1136.464 9.842151 -0.6171959 10.72015
-0.2665048 -0.2554338 -0.2349583 -1.774997 -2.507944 -1.296309 -1.706023 -0.1793215 -0.4130655 -0.8194288 0.01297278 0.7971152 -2.196328 -2.194122 -1.777539 -1.152948 -0.5333414 -2.856177 -0.7533917 -0.02592464 -0.9361909 -1.498618 -2.47385 1.246932 -1.079078 -0.6510238 2040.59 -121.3247 -1839.004 -1.333204 -1.541827 -0.02890521 -2.82863 -4.962025 -5.390368 19.78377 346.842 10.40299 1.961638 -18.86417
0.1274129 -0.6065948 -0.4244324 -1.889105 -1.935796 -1.589745 -1.662293 -0.6643477 -0.5024622 -2.036594 -0.6418033 -0.2734601 -3.780524 -1.658812 0.423289 -1.213247 -2.495783 -2.411438 -1.757815 -1.815903 -1.661118 -1.805519 -3.284958 -1.431255 -1.649899 0.5113066 1838.924 -122.1676 -1800.93 -1.560609 -2.910058 -1.154724 -0.6412572 8.832887 2.672369 -60.76767 2882.991 -8.902188 4.649963 -27.28205
0.2985358 0.2393444 -0.05799923 -1.063171 -1.806001 -0.6676637 -0.9224848 0.197715 -2.032087 -3.175724 -1.979425 -1.638093 -3.72463 -4.318755 -4.481622 -2.521406 -3.429694 -5.244221 -2.541302 -0.3916256 -3.358084 -2.483232 -3.22607 -2.505136 -3.174242 -2.515312 1686.612 -78.91433 -1893.62 -2.577274 -3.594464 -1.987498 -1.815824 1.457884 -5.626771 31.45297 4003.734 11.14218 -1.304857 -11.33844
