factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FEH_HGD1 factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.07089656 0.2160135 0.2399667 0.7170414 1.559028 0.3882335 -0.1130231 -1.476301 -1.358464 0.2801805 -0.08927142 -2.377304 -3.28797 -1.327637 -0.9471778 0.4677723 1.897121 0.6049163 1.701232 0.8682323 0.2419942 1.046019 0.04963875 0.950634 -0.649227 1.434406 1.95771 -0.1056126 1.903935 0.957565 1.505435 1.676994 1.520684 0.5875793 -627.0188 -21.70202 726.9578 0.105812 1.303651 2.407262 -1.292513 -0.09924365 0.7298778 7.924343 -1532.378 -1.518733 -1.098533 -8.82218
-0.4280093 -0.2102819 -0.4273391 0.8035216 1.997879 -0.2857448 -0.432811 -0.8959545 -1.203328 0.142115 -0.7911554 -2.921742 -2.898892 -1.193609 -0.3926268 0.1302556 1.599876 0.07248539 0.7669503 1.55818 -1.086959 1.079926 -0.2263486 0.5014101 -0.7566565 1.96243 1.170514 0.195158 0.9591983 0.8818343 -0.2432893 1.66032 1.011083 -1.343961 -612.5136 40.06777 821.5588 0.1000891 1.26687 2.387277 -0.168954 -1.72572 -2.882618 20.15977 -3139.4 -9.643092 0.1245459 -2.107278
-0.009409384 -0.1111193 0.2134634 0.6237607 1.922364 -0.2905927 -0.3528267 -1.036149 -0.9329658 -0.1593246 -0.3705893 -2.370328 -3.083027 -0.8973591 -0.6946206 0.2617231 1.019015 -0.404197 1.131823 0.1804484 1.117223 0.5736052 -2.134039 0.1493251 -0.3000201 -0.285658 0.7228975 -0.6662043 0.489397 -0.3721284 0.512559 0.3271936 -0.04801558 -1.096722 -792.0275 -15.00413 839.9173 -1.235907 1.11052 1.454425 -1.926924 -0.2799534 -1.565433 18.49945 -1098.781 -1.911628 1.011252 -21.15845
-0.3277333 -0.2369077 -0.2655314 0.6531907 2.39482 -0.2331541 -0.668045 -1.481917 -1.595376 0.05138748 0.1925645 -2.13604 -2.80105 -1.063991 0.176508 0.3047932 0.2323415 -1.103437 0.2996589 0.4012453 -0.6030963 -0.6858515 -1.798402 -0.5678408 -1.673818 1.177469 0.2663035 -1.312491 -0.4272495 -1.234616 -0.7418837 -0.1314005 -0.751627 -1.638929 -847.8017 7.330132 1040.797 -1.378494 -0.1352008 2.22779 -2.927226 -3.308892 -1.009894 16.79247 -3209.748 -1.270366 -1.44768 2.607081
-0.5295349 -0.1548707 -0.1102744 1.047277 2.483575 -0.2218787 -0.3447604 -0.963219 -0.5615689 0.3175866 -0.2282891 -2.256971 -2.568612 -0.8019261 -0.4375485 0.6146954 0.6090609 -0.9915092 0.4364786 0.4397376 -0.9117302 -0.6897863 -1.392732 -0.1568902 -1.307691 -1.099463 0.6135024 -1.359751 -0.4223852 -0.6739339 -1.52162 0.0207149 -0.4684421 -0.9096269 -992.2866 -24.02685 1149.822 -0.8816422 0.6297891 1.063656 -1.815036 0.72567 -1.429993 4.63903 -1640.252 -4.095448 -1.710686 -0.7620514
-0.06873054 0.2563059 0.09618601 0.4929009 1.790641 -0.3371105 -1.35738 -0.8966634 -0.9949491 0.04307934 0.1419207 -2.574748 -3.398953 -0.7607056 -0.7989915 0.4604564 0.9302604 -0.5558499 0.422814 -0.2146725 -0.5448077 -0.4868171 -1.80284 -0.6107341 -1.644992 0.1331895 0.4102289 -1.293858 -0.7855333 -0.9034418 -0.3705457 0.649895 -0.2281106 -0.2504259 -944.099 5.224976 974.0307 0.05246394 0.3614091 1.404195 -1.72372 0.03350103 -1.236813 17.2853 -1365.526 -8.66516 -1.894655 -8.753296
0.4879806 0.6035472 0.3143298 0.9010553 1.82449 0.2663725 0.1136584 -1.057482 -0.9658942 0.3967484 0.2062415 -2.244628 -2.799459 -0.8430115 -0.3195092 0.5468216 0.6103366 -1.085317 0.5273051 -0.05408475 -1.133168 0.04552718 -2.181626 -0.1408593 -2.386838 -0.3609108 0.9159372 -0.9023915 -0.6383473 -0.6609556 -0.6409814 0.1060117 0.03429966 -1.391721 -908.7152 9.71389 707.1551 -0.6503687 -0.7037272 -0.94882 -1.83351 -0.9719423 -2.849305 25.60016 2176.11 -1.629839 -1.175794 -18.22999
0.04423097 0.7534363 -0.2527409 0.4608054 1.620404 -0.08157189 -0.261431 -1.084918 -0.9547119 0.02659292 -0.1611695 -2.654879 -3.072747 -1.253538 -0.4569407 0.7279973 0.8539166 -0.757165 1.041373 0.3962049 -0.580998 -0.4530241 -1.30056 -0.6147498 0.07335593 0.4223001 0.5683318 -1.635147 0.3156858 -0.7670035 -0.2507047 0.7486467 0.4589538 -1.251107 -364.5126 -55.19911 371.7742 -1.76672 0.8333759 -0.2990997 -2.124115 -1.715718 -2.420641 -9.203562 660.6801 2.552928 0.504932 -5.182963
-0.1386932 -0.1510255 -0.3885417 0.05399632 1.302402 -0.6353934 -0.6930116 -1.498932 -1.49604 0.04418091 -0.5701918 -2.644702 -3.274442 -1.477635 -1.229596 0.6663487 1.252671 -0.5117587 1.26124 0.6653925 -0.3326332 -0.1615188 -1.543855 -0.1647274 -0.5577202 -0.4369435 1.199218 -1.894083 0.707843 -0.185757 -0.1715165 -0.02903403 0.2463423 -0.8030886 -561.4645 -0.388358 284.5428 -1.632184 -0.5577276 1.390469 -2.290101 -1.747191 1.769645 9.960571 3263.67 -0.6511459 -0.085494 -10.63274
0.1489889 0.05737541 -0.1051412 0.5294327 1.958147 -0.1066541 -0.02986337 -0.8413339 -0.9258448 0.1702813 0.1024563 -2.310377 -2.610944 -0.5100262 -0.2949227 0.1763549 1.326251 -0.3637725 0.7906247 1.128211 -0.2978975 0.3181854 -1.477716 0.08051992 -0.9419856 0.5774891 0.955442 0.08649361 0.7271166 -0.1614813 -0.2596606 0.6080964 0.05353411 -0.1811372 -841.4726 34.45887 516.4464 -1.299238 1.094386 1.946275 -1.343018 1.261289 -3.443122 -6.969934 2789.999 -2.698468 0.1934515 -2.747891
0.1063377 -0.2450468 0.1090614 0.4947623 2.293861 -0.3342272 -0.06316043 -1.271949 -1.182016 0.1014554 -0.05177384 -2.344505 -2.806737 -0.562383 0.04915435 0.5619312 1.196637 -0.684601 0.5062537 0.6469677 0.05853536 -0.2903121 -1.362131 -0.1459745 -0.022924 0.9214938 1.216484 -1.322245 0.6797537 -0.5590277 -0.3053072 0.5518857 0.3895103 -1.632742 -610.0233 -24.80284 624.0849 -0.990457 -0.9554435 0.6049791 -2.605567 -0.3475989 -0.4353584 7.953028 -1300.596 -3.493222 -0.1474282 -6.202047
0.02407118 0.2144899 0.2057097 0.7915368 2.390753 0.09911885 -0.3635837 -1.298677 -0.8318918 0.7554651 -0.5092992 -2.42578 -2.811418 -0.4612684 -0.2879096 0.6683251 0.6501048 -0.7948106 0.7509882 0.3220182 -0.3278019 -0.7925486 -1.014821 0.1712109 -1.047941 -0.6520112 0.9806544 -1.406829 0.1243569 -0.7119913 0.2045588 -0.2324726 0.2695039 0.07997316 -496.1616 -46.30979 607.7391 0.3240184 0.6324265 -0.06981406 -2.232746 -3.182814 -2.903897 14.95535 -891.4582 -2.268287 0.5534958 1.884514
0.04394139 0.02553721 0.05786664 0.6863137 1.98975 0.34657 -0.4710199 -1.121646 -0.9124419 0.4115771 -0.4321296 -1.989891 -2.822542 -0.591736 -0.2453833 0.4257618 1.185922 -0.07386313 1.15188 0.5532259 1.085424 0.2339821 -1.273614 0.3096217 -1.031039 -0.03485845 1.008187 -1.107266 0.2499503 -0.5298872 0.1694607 -0.1250492 0.40887 -0.07643815 -1030.561 55.99373 1145.211 -1.156802 -0.07514375 0.8108133 -2.886199 -2.664303 -1.674573 22.47253 -2206.307 2.504975 -1.551444 -4.396677
-0.3158164 0.2317411 0.2827599 0.803164 2.013908 -0.199148 -0.4683146 -0.9195503 -1.134475 0.7463941 -0.5420719 -2.6089 -3.514124 -0.8388337 -0.8214283 0.3407462 0.6207629 -0.7886753 0.4436109 0.2564758 -0.8020233 -0.631413 -2.202545 -0.5360098 -1.633852 0.03630043 0.6047322 -1.39804 -0.199219 -1.007307 -0.4658193 -0.2941114 -0.6175424 -1.484178 -1384.809 -71.10806 1681.665 -0.5745556 -0.4015224 0.453784 -0.8645933 -4.973896 -0.9549681 22.12769 -4704.642 5.897633 -1.640225 -7.591599
-0.2035992 -0.1455897 -0.186012 1.450624 2.625522 -0.2382872 -0.4260329 -0.5450298 -0.4578392 0.6399826 -0.2960849 -1.754955 -2.447339 -0.3894319 0.04967055 0.780311 0.101955 -1.298337 -0.1950994 -0.2429748 -0.5848495 -0.8994246 -2.467203 -0.5607702 -1.483748 -0.8594749 -0.1206012 -2.207953 -0.7006723 -1.372258 -0.7162477 -1.46188 -0.5859186 -2.494719 -1284.911 -35.22049 1500.524 -1.402496 0.8926339 0.360071 -1.768602 -1.592856 -7.427823 14.31234 -3134.257 6.98905 -1.457482 0.7125798
-0.1356195 0.1467778 0.2859269 0.8846911 2.05638 -0.3684011 0.09029819 -0.6418205 -0.6866654 0.09187279 -0.227192 -1.440965 -2.671385 -0.5989963 0.1912471 0.2446035 0.2697122 -1.161897 0.02866656 0.4090743 0.1030707 -0.7723301 -2.488296 -0.762073 -0.9032615 -1.318627 0.4988326 -1.729658 -0.3969884 -0.9958978 -0.5172172 0.08929217 0.4089485 -1.090642 -1578.431 -22.81973 1721.153 -1.436844 -1.787299 0.8227566 -2.274275 1.964926 -0.5268459 6.063762 -2357.394 -1.878156 -1.675135 4.312517
-0.08991643 0.2630354 -0.121751 1.181055 2.526717 -0.2183607 -0.5081115 -0.9740318 -0.6500849 0.2054237 -0.8119666 -1.759083 -2.645785 -0.4801219 0.2098575 0.7815732 0.6058107 -1.325177 0.09067587 -0.2129339 0.07965457 -0.7893895 -1.715923 -0.5184048 -1.478465 -0.4667753 0.3272737 -2.141387 -0.2893862 -0.7054009 -0.5598341 -0.1513396 -0.1606697 -0.6455125 -1320.565 -13.60021 1612.221 -2.642079 -1.17451 -0.7182969 -2.466215 -0.5779842 -4.57422 12.44544 -4996.789 -1.943159 -0.192842 -25.8604
0.03837942 0.1658842 -0.0339224 1.321342 2.508882 0.1450191 -0.372045 -0.07271243 -0.5529587 0.629017 -0.2739671 -1.408178 -1.917567 0.2477805 0.2578993 0.458219 0.444579 -1.001176 0.448541 0.8716241 0.3171395 -0.380896 -1.106987 -0.4302922 -0.9462175 -0.2275125 0.1093537 -1.908081 0.2856501 -1.334332 -1.232773 1.25697 -0.2776347 -1.530441 -1194.14 -42.29508 1447.701 -0.7544667 0.6061512 1.620853 -1.154661 -2.925612 0.6617705 14.585 -3203.211 -5.419234 0.1831661 1.120368
