factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
1.210939 4.190145 5.563735 -1.119318 -1.264198 -1.679152 -1.177482 0.07231987 3.002641 4.082743 5.525201 3.638168 3.124128 5.048787 4.110584 4.69277 4.186844 4.592766 5.110472 4.203251 3.441945 4.736204 6.316788 5.693409 3.998218 5.910183 87557.23 -96.31982 -40150.6 10.85455 6.338278 9.412146 4.88523 13.07956 -6.532755 17.56913 84636.7 175210.4 8.989743 -6.672138
1.453728 2.088525 4.505551 -2.466701 -2.143733 -3.536039 -2.708346 -0.06509756 4.37021 3.60692 5.569501 4.895942 0.4515062 5.33853 3.912532 5.151887 5.801651 4.78369 4.912892 0.4471313 4.527984 3.888226 4.644935 2.148527 3.391905 5.566443 -498.2327 -80.85178 40613.05 3.141274 6.467933 3.732784 6.952985 15.91281 -11.69399 23.66078 12565.38 313204.2 7.995346 62.30185
1.67253 4.542941 5.211534 -0.9539713 -0.7706059 -2.200801 -0.5927773 0.1657045 4.019495 3.604255 5.015471 5.286244 1.864796 5.588379 5.945835 4.180168 3.729365 -0.511887 5.519479 3.352379 4.052377 4.268475 5.151896 2.936035 4.329758 4.603738 121324.4 32.80892 47227.13 6.662006 2.909164 5.145868 3.793489 -14.30464 -18.04644 31.42115 -24891.65 1232.609 13.1006 3.045354
1.16282 2.75988 4.614651 -2.280156 -1.358417 -2.652459 -2.476133 0.9345936 4.551102 4.866711 6.735813 4.470533 4.765777 5.744144 5.185892 5.652063 4.410059 5.097082 5.987762 2.654576 5.601843 3.098959 4.031606 4.576593 4.405173 8.074591 -22511.89 -46.76202 109184 9.033017 6.352159 6.931032 -0.3677955 -3.13441 -24.11019 4.04111 21342.59 45547.81 3.856278 -129.3549
0.8612771 1.351505 3.15527 -2.067443 -2.336499 -3.050682 -2.961328 0.4775334 4.082938 4.225199 7.019637 5.399647 4.368835 4.845058 10.11369 6.263946 4.169403 4.759317 4.347631 3.044557 4.170041 4.291278 6.169924 5.092376 3.817109 5.9884 -37181.33 -41.73349 78133.82 3.747315 2.548447 3.893265 1.456256 -0.9350154 -12.43458 4.307041 15418.18 -129177.6 9.163799 -143.5973
0.907501 1.773985 2.984039 -1.003315 -2.559983 -3.718913 -1.588617 -0.3461146 5.020999 3.582856 7.280075 6.619328 4.017742 5.31477 3.529672 5.930692 4.075821 5.174067 6.669368 1.842208 4.734237 4.822952 5.636444 9.068905 4.328415 8.451306 98647.28 -1.142153 25072.86 3.861367 0.0489113 4.263184 1.081878 9.927415 -24.17813 24.53237 -94553.49 42397.27 12.22042 -2.790277
0.7327412 2.560698 3.655488 -2.563286 -2.247987 -2.711427 -2.91497 0.3071926 4.607588 5.496572 5.817968 4.410671 2.795335 5.352429 6.790443 7.527159 3.287588 -0.08503896 5.547961 2.818199 3.836433 2.425003 5.015465 4.942585 3.823149 8.111351 -24170.12 -2.912333 10389.29 7.193833 2.430601 3.735432 1.03222 -3.480425 -20.70408 -4.974996 17122.45 -22979.64 12.31161 -166.971
0.7844739 2.991494 4.844345 -1.473916 -2.003473 -2.902504 -1.953091 0.5681256 3.389661 2.682767 5.942587 2.950903 -0.0325233 3.073408 5.98563 5.020887 3.0401 0.4170764 3.267557 1.56081 4.738314 2.06617 4.75228 2.16222 3.789401 6.807496 127138.5 33.97888 -194683.2 3.589841 1.980566 -0.906244 -1.272362 -4.024534 -14.26027 -22.93834 120996.6 -30219.09 3.811568 26.80685
0.5311279 2.782293 4.547072 -1.837258 -2.135703 -2.71895 -2.123997 0.5527169 3.563947 3.774191 4.936353 4.001043 3.281398 3.640794 5.503945 5.197689 3.952753 3.160001 5.714664 -0.1281406 5.212651 3.12273 5.594821 2.95826 4.285812 8.091244 -6264.477 24.17564 -199215.5 5.681237 5.972659 5.157654 0.1746347 18.78866 -15.75635 13.82487 66665.36 -8959.611 10.82629 20.28794
1.56081 3.101853 4.84118 -1.161005 -0.5263132 -2.689922 -1.051178 0.1946103 2.699766 3.343609 6.068018 2.963575 1.655428 5.931746 3.559495 3.732652 3.238794 1.415319 4.245144 3.0909 3.087948 2.848275 4.174073 2.102967 2.337092 3.106046 233555.8 -18.38126 -261800.9 4.88773 6.000759 8.536349 3.883799 -2.112082 -11.62145 -2.255041 -148993.7 4842.345 6.895477 134.7598
1.23722 2.641554 4.80857 -2.143417 -3.476159 -2.624496 -1.448452 0.1399381 2.687053 3.874762 5.153735 4.22832 2.946806 5.156337 1.317335 4.542297 4.13144 -2.455875 4.200648 3.506772 4.411764 2.918221 5.119046 2.116376 3.020138 7.320756 -42107.03 11.41526 -63496.06 3.430513 4.208184 5.270834 2.936603 -0.417945 -14.06206 22.56458 -189990.2 76994.1 10.62341 85.6474
1.142624 3.436622 5.927291 -1.207605 -1.666818 -1.858147 -2.005996 0.348188 3.184965 3.674796 5.325579 2.994576 0.03860374 2.394764 4.131143 4.321355 5.042398 0.8922242 3.50592 -1.070837 3.19799 1.850694 5.289786 0.5305466 2.122129 6.181137 -49332.61 -53.55524 22685.92 7.667737 1.264334 6.146918 2.729486 9.792683 -7.833629 18.14113 -107772.8 -1681.672 0.8636317 26.94267
