factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FEH_HGD1 factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.3648072 0.1246557 0.2421844 0.5360419 2.241458 -2.04438 -2.424261 2.206696 4.027479 -1.062929 -1.600042 -0.3156907 -0.9273058 -1.768328 -1.503513 0.405896 -0.1159176 -0.801875 1.012295 0.5822628 -1.067542 -0.3223398 -1.833259 0.4855443 -1.540098 -2.804806 -0.1079058 -1.642151 -1.098887 -1.195975 -1.011501 -0.5142549 -0.5868318 0.1431483 1555.397 -14.41591 -2169.546 -1.565911 -0.4899139 -1.142556 -2.041332 -8.284055 -5.076705 -8.573599 9227.909 10.76425 2.135715 -6.022441
-0.4691007 -0.3206047 -0.6868121 0.1449035 1.848873 -2.646459 -3.434824 2.508341 4.837807 -1.964093 -1.511456 -1.094829 -1.03967 -2.529695 -1.777275 -0.05153082 -1.060915 -0.7391977 0.1740214 -0.5222039 -0.6080723 -0.6180772 -2.690425 0.159508 -1.595302 -0.5612933 -0.1798809 -1.548935 -0.7124804 -0.4043953 -0.6411525 -1.54641 -0.6224769 1.790217 1767.776 61.78836 -2191.21 -1.160886 -0.03968347 -0.4032763 0.223677 0.5508487 -9.864206 38.11429 6989.161 7.617498 3.426557 -12.32921
0.3435173 0.4999781 0.3948985 -0.3221831 1.309713 -1.907774 -2.96833 2.029979 4.135731 -0.8063776 -1.029126 -1.571346 -1.305307 -3.107237 -2.181104 0.2907636 -0.7231466 -1.901325 -0.3021632 -1.463733 -3.539889 -1.813432 -2.094589 -0.9142474 -1.372228 -2.392934 -1.052814 -0.8044964 -1.028832 -1.934547 -1.274229 -2.113436 -1.327257 -0.9832656 1841.683 -83.57504 -2346.202 -2.50996 -1.914397 -3.229938 -3.133894 5.029051 -7.512326 16.32354 8343.265 4.587116 2.036014 -31.23258
-0.4694845 -0.7570818 -0.3215094 -1.000107 0.4253676 -2.109537 -2.906724 0.3987515 3.07517 -1.490497 -2.160414 -2.296861 -1.974327 -3.214496 -2.380149 -0.03173534 -1.078378 -1.765154 0.3182003 -0.1515049 -2.681962 -1.442284 -1.310182 -0.8715245 -0.8039242 -1.320448 -0.5983709 -1.21904 -0.7310599 -1.401617 -1.086931 -1.46265 -0.8960083 0.9731771 1959.117 -49.33139 -2152.4 -1.156787 -0.494303 -1.56271 -1.841877 3.241365 -4.503691 -6.66871 5134.031 -10.45452 2.906169 -16.24651
-0.1949437 -0.8994027 -1.088183 0.06492459 0.65699 -1.799283 -1.880235 1.359572 3.337747 -1.814172 -1.428899 -2.119492 -2.088187 -3.288825 -2.131231 -0.04595387 -1.607838 -2.403747 -0.9774782 -1.23916 -3.457806 -1.588152 -3.288495 -1.430573 -2.78056 -0.9606329 -1.257629 -2.961469 -1.725463 -2.015039 -1.515101 -0.5430055 -1.978967 -0.2727708 1503.098 -30.4571 -2035.089 -0.5541811 -0.1798948 -0.7989262 -1.33888 -1.546464 0.675834 30.63036 7839.695 8.661586 1.278138 -0.6446175
-0.1972754 -0.9541107 -0.4123579 0.677251 1.863717 -2.368732 -3.234637 2.862768 4.104777 -2.5932 -2.244103 -0.6207792 -0.500382 -2.341866 -1.490072 -0.1566101 -2.506057 -3.586689 -2.332695 -2.437712 -3.606442 -2.922381 -3.163931 -2.228627 -3.375806 -4.36606 -2.182139 -3.288187 -2.135558 -3.586385 -3.110438 -3.485127 -3.101709 -1.550379 1882.492 -56.37531 -1329.85 -1.43308 -1.321242 -0.5377173 -4.957345 1.152453 -6.576622 7.399832 -4266.483 -4.235272 -2.246552 -12.67333
-1.148082 -0.9235545 -1.327522 0.1196259 1.806488 -2.073526 -3.626794 2.606121 4.752704 -1.773955 -1.864356 -1.32035 -1.154853 -1.793783 -1.085302 -0.1887114 -2.377717 -3.396525 -1.508711 -2.43224 -2.930453 -2.364946 -3.519615 -3.503885 -4.199582 -3.858656 -2.515065 -3.306189 -3.38391 -3.756516 -3.40325 -4.104627 -2.588182 -0.4762495 1938.647 -93.45901 -1587.46 -2.21257 -4.624825 -2.63529 -1.329256 -4.234426 -9.641476 3.482278 -1305.671 7.621079 0.8999813 -18.10887
-0.4618762 -0.4754633 -0.3081806 0.3560231 1.470593 -1.950504 -2.911598 3.216559 4.350271 -1.927366 -2.116706 -0.6426636 -0.9053047 -1.995556 -1.352517 -0.2738598 -3.213609 -3.885272 -1.490213 -2.449506 -4.055466 -3.051 -4.805468 -2.497778 -4.296147 -2.234724 -3.024055 -3.795399 -3.778718 -3.655981 -4.213938 -3.79789 -3.288052 -0.9461671 2039.644 -108.1732 -1912.693 -2.89315 -1.720295 -3.158784 -2.620042 -5.550178 -11.74953 -3.682553 2353.226 1.500591 -2.725139 -11.09777
-0.8162656 -0.1815231 -0.552336 0.5966337 1.60294 -1.703398 -2.184711 3.072702 5.045343 -1.923595 -1.842612 -1.250738 -1.146612 -1.942706 -0.3628007 -0.04615609 -2.955583 -3.147944 -2.536642 -2.880855 -5.496855 -4.088542 -6.006968 -3.495489 -4.879363 -4.412948 -2.383685 -6.291425 -3.127847 -3.918295 -4.050035 -3.307724 -3.522535 -0.4488739 1460.818 -131.1853 -1683.863 -2.793893 -2.95807 -3.040843 -5.029202 -2.460374 -8.671251 11.78917 5262.514 6.434984 -0.9772439 -1.913081
-0.861624 -0.8784638 -1.164764 -0.4808571 1.070115 -2.000174 -3.55112 1.579477 3.724448 -1.662374 -2.243539 -1.618334 -1.677276 -3.137493 -2.539367 0.1979561 -3.041998 -2.841433 -1.783451 -2.757751 -4.865804 -3.179035 -2.953246 -2.429959 -3.658533 -4.914304 -3.175339 -4.611674 -2.411813 -3.71226 -3.451874 -3.28136 -3.796182 -3.274629 1340.715 -107.7534 -909.6747 -3.239074 -2.652082 -3.668955 -5.752576 -5.185458 -10.47761 35.09052 -3342.943 -0.4243496 -2.46958 -39.65853
-0.2743185 -0.5107381 -0.245457 0.4135114 1.706672 -2.054721 -3.048157 2.145025 3.1872 -1.919196 -0.8400252 -1.56356 -1.45045 -2.082063 -1.418217 0.4595958 -2.615752 -3.077711 -0.7772719 -3.744746 -5.990859 -4.089884 -5.333953 -2.666952 -4.37757 -4.816039 -3.457082 -4.16215 -3.311792 -4.154015 -3.488542 -3.316934 -3.384709 -1.704743 1067.227 -65.47882 -601.3193 -3.886394 -1.306273 -0.8733326 -4.821779 0.1581279 -5.953967 8.056691 -4689.42 8.640668 1.459506 -1.546188
-0.00144255 -0.1268978 0.002637293 0.02533298 1.360503 -2.344653 -3.143114 2.343637 4.518373 -1.881047 -1.590446 -1.90715 -2.244448 -3.042923 -2.335573 0.2511649 -2.236816 -3.232737 -2.165398 -2.860166 -5.021797 -2.936568 -2.860534 -2.840418 -4.063786 -3.958065 -2.588072 -4.608589 -2.53127 -3.983316 -3.575021 -3.849156 -3.489598 -0.7605126 621.8288 -10.94229 -518.518 -4.628404 -5.992783 -3.48423 -4.386384 -0.3966279 -10.20664 0.1930226 -1653.94 4.14271 -1.801354 -14.41084
-0.3028487 -0.1802777 0.03301693 1.053894 1.638066 -1.732208 -2.538473 2.705968 4.28646 -1.638177 -0.9687352 -1.093171 -1.231357 -2.539427 -1.271616 0.02430515 -2.703337 -4.080173 -1.78205 -2.514843 -4.564995 -3.466568 -3.89508 -1.880861 -4.934849 -2.326266 -2.826129 -4.284158 -3.319582 -4.215778 -2.995049 -4.465075 -3.24938 -0.8355685 904.5468 -2.673751 -847.8222 -4.697886 -3.267983 -2.944574 -5.24606 -0.2762411 -4.962255 7.073753 772.8442 -9.464548 -2.896847 -19.51853
-0.5130932 -1.086948 -0.8096461 0.09466366 1.148256 -2.292877 -2.803323 1.701454 4.689859 -2.469726 -2.577387 -1.173008 -2.131064 -2.228313 -1.884018 0.6541182 -2.489926 -3.13746 -1.583968 -3.098156 -3.128404 -3.85847 -2.692453 -3.616781 -4.811639 -3.378537 -2.23411 -5.046153 -2.718525 -2.855319 -3.378157 -3.736705 -2.814823 -0.3081341 1460.378 9.882645 -1567.249 -3.729157 -5.431966 -2.24649 -5.260105 -5.907761 -9.386372 -13.54834 1532.644 19.87332 -1.275164 -17.18598
