AnimalID,SampleID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171179,F3,8.78461538461539,1.2887723736,6.81626605641524,Steer,201701_MI_ME01,0.5,1,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0.03125,0,0,0.75,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
20171184,B27,10.7830769230769,1.1265255009,9.57197765559869,Steer,201701_HI_MD01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0625,0,0,0,0,0,0,0
20171188,D14,8.58923076923077,0.8688305419,9.88596780961156,Steer,201701_HI_MD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171192,C1,10.2430769230769,1.1171072982,9.16928654891221,Steer,201701_HI_ME01,0.0625,0.125,0,0,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0
20171196,I13,9.29076923076923,0.8356480952,11.1180403379554,Steer,201701_MI_MD01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171210,F4,10.38,0.9298870306,11.1626462768304,Steer,201701_HI_ME01,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.0625,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0,0,0
20171212,F5,10.1523076923077,0.7943594954,12.7804951676136,Steer,201701_HI_MD01,0.5,1,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.25,0
20171216,I14,10.2984615384615,1.6917829465,6.08734209064303,Steer,201701_MI_MD01,0.8125,1,0,0,0,0,0,0.75,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0
20171218,I15,8.55538461538462,1.169844351,7.3132674514104,Steer,201701_HI_ME01,0.5,1,0,0,0,0,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171221,D15,10.0261538461538,1.3118206266,7.6429304760513,Steer,201701_MI_MD01,0.5,1,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0
20171222,C2,8.59230769230769,1.1080063811,7.75474567554157,Steer,201701_HI_ME01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171243,F6,10.4707692307692,0.8860769647,11.8169974482006,Steer,201701_MI_MD01,0.625,1,0,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.25,0
20171250,A9,9.12461538461539,1.1992402492,7.60866339392988,Steer,201701_MI_MD01,0.34375,0.6875,0.75,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171255,C3,8.98153846153846,1.3418236122,6.69353138510709,Steer,201701_HI_ME01,0.5,1,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
20171258,D16,10.0892307692308,1.4207856197,7.10116334888096,Steer,201701_MI_MD01,0.5,1,0,0.75,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0
20171259,C4,12.12,1.4605464881,8.29826376548048,Steer,201701_MI_ME01,0.46875,0.9375,0.75,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171267,A10,9.58307692307692,1.14399291,8.37686740827522,Steer,201701_MI_ME01,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0
20171269,I16,10.4892307692308,1.2959164574,8.0940640188144,Steer,201701_HI_MD01,0.5625,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0.71875,0,0,0,0,0,0,0,0.03125,0,0,0.03125,0,0,0,0,0,0,0
20171301,D18,8.93692307692308,0.853039763,10.4765609582998,Steer,201701_HI_ME01,0.625,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.125,0,0,0,0,0,0.0625,0.1875,0,0,0,0,0,0,0
20171308,A11,9.24307692307692,1.3153471673,7.02710064146038,Steer,201701_HI_ME01,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0
20171340,I18,9.90153846153846,1.1605990397,8.53140328644239,Steer,201701_HI_ME01,0.125,0.25,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0
20171351,I19,9.51846153846154,1.1650115614,8.17027217053808,Steer,201701_MI_MD01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0
20171365,A12,10.6292307692308,1.4263561289,7.45201745473481,Steer,201701_MI_ME01,0.3125,0.625,0,0.0078125,0.0078125,0,0,0,0,0,0,0,0.84375,0,0,0,0,0,0,0,0,0,0,0.125,0.015625,0,0,0,0,0,0,0,0,0
20171366,I20,10.5553846153846,1.4557128808,7.2510072244355,Steer,201701_HI_MD01,0.21875,0.4375,0.875,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171370,G25,9.90461538461538,1.3779683904,7.18783932463084,Steer,201701_MI_ME01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0.15625,0,0,0,0,0,0,0,0
20171677,D19,10.9984615384615,1.525433271,7.21005746206878,Steer,201701_MI_ME01,1,1,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0,0,0,0
20171685,A13,8.09846153846154,1.1450960715,7.07229877040194,Steer,201701_MI_ME01,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
20171693,F7,8.28923076923077,0.8072819101,10.2680744675723,Steer,201701_MI_ME01,0.75,1,0,0.625,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0
