factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.002320964 -0.06647688 -0.003079967 0.2191395 0.3219053 0.2471655 0.05812347 0.07681303 0.1737686 0.1419927 0.109818 -0.06220962 0.4036519 0.3047644 0.1338769 0.1753163 0.06348046 0.1810117 0.08156255 0.08476792 -0.02308952 0.06931302 0.2369448 0.2542401 0.2084978 0.009180446 44.98381 3.296387 -43.18201 0.1514766 0.3610692 -0.06139844 0.2001135 -0.07383786 0.6745642 -12.81124 -46.03331 -1.447836 -0.913542 -1.168825
-0.0456918 0.05992663 0.02835924 0.119288 0.2196472 0.145388 0.09583729 0.06396599 0.2106143 0.2207059 0.3111693 0.09054454 0.3372226 0.5052912 0.0336535 0.3354739 0.1977175 0.5287936 0.3175948 0.0007292574 0.1787093 0.1255352 0.3223529 0.4112788 0.2256566 -0.1805762 103.7582 14.09459 -4.614213 0.2122347 0.2288564 0.6327555 -0.04974198 0.1426793 1.268788 -7.117901 -1137.919 0.5542497 -0.3122623 -1.106518
0.03330138 0.006821121 0.06423593 0.1577837 0.320061 0.2770562 0.102515 0.01597554 0.1279709 0.1532104 0.1252856 0.1733146 0.3687667 0.6097741 0.4147453 0.3301059 0.06820638 0.3181598 0.2326946 -0.04519139 0.1801891 0.1869643 0.4672051 0.3269489 0.1882473 0.01280247 38.24369 -14.77004 38.34574 0.3060063 0.0472395 0.2952428 0.3041402 0.5834139 1.190495 -2.746201 -762.4859 -2.405613 -0.2549776 3.322504
0.04282793 0.05937208 0.1475479 0.3621441 0.3872914 0.3290069 0.2894672 0.01179398 0.285009 0.2781959 0.3120777 0.1725016 0.5977864 0.571648 0.5410532 0.4154242 0.5124294 0.1865095 0.2893161 0.1300873 0.1674246 0.1746999 0.3013814 0.3599189 0.40552 -0.2825037 11.29549 -19.76823 49.06093 0.4833563 0.179445 0.2684912 0.6240169 1.113038 1.658114 2.995095 -678.9665 -1.829224 0.08227656 1.089378
0.05715819 0.04088143 0.1753438 0.3030648 0.462191 0.5186349 0.3596113 0.01276459 0.2977741 0.3273489 0.2717978 0.04789428 0.2400566 0.5145255 0.3370031 0.4379466 0.2685133 0.1539477 0.3776572 0.2970683 0.328869 0.2447577 0.2763283 0.4177865 0.3766618 -0.0557912 47.91316 1.287375 39.35074 0.2281782 0.1510633 0.4667077 0.476986 0.169773 2.420186 -9.766078 -818.2771 0.05443749 -0.08866478 -2.056766
0.04346843 0.04782453 0.09319107 0.2482893 0.3982009 0.254393 0.2772447 0.03360676 0.3391825 0.1450669 0.3603724 0.05502397 0.5707333 0.4124557 0.3656538 0.439139 0.1478895 0.5112875 0.4689129 0.1626052 0.2688374 0.2896942 0.4019997 0.326522 0.2459536 -0.04583797 -69.97352 8.03803 89.48756 0.5201164 -0.0606047 0.3101693 0.2567997 0.3699991 0.8912263 0.1599966 -344.3074 -2.165229 -0.2554608 4.98749
0.06591566 -0.03849479 0.006984854 0.1508178 0.3157576 0.2899297 0.1881061 0.06877337 0.3244442 0.282233 0.2891854 0.157263 0.4857991 0.5382475 0.4288409 0.4935156 0.1962508 0.0348 0.4376795 0.1435088 0.4377246 0.2076048 0.3231146 0.5083258 0.2176867 -0.08430561 -21.90792 6.126587 110.4492 0.2564556 -0.03829537 0.4980874 0.2000909 0.8871339 1.019221 -2.228734 -1070.336 0.4964544 -0.196318 4.885557
0.0371553 -0.00735925 0.01192673 0.403123 0.4428511 0.365696 0.1554465 0.08035835 0.3328638 0.3449 0.449406 0.1648811 0.5633003 0.447408 0.4897354 0.4887511 0.4316088 0.5468877 0.4011929 0.07926282 0.3289481 0.3377342 0.4419316 0.3645341 0.2803796 -0.08886518 41.69546 -1.216617 18.07446 0.1627114 -0.08116846 0.3491538 0.3385046 -0.1209541 0.8780757 -11.03868 -571.9575 -1.167613 -0.2391344 3.026226
0.06790602 0.097488 0.03886663 0.3942392 0.4797625 0.3607346 0.2099131 0.1158142 0.2411894 0.2344436 0.2784497 0.2360116 0.6162082 0.5257716 0.3365197 0.3316004 0.339294 -0.1101264 0.3885963 0.06731479 0.2171036 0.2868257 0.3387792 0.4008292 0.2088841 -0.1136474 31.92964 -17.84158 35.84488 0.1073062 0.3735327 0.2737501 0.2929383 0.4747185 0.379665 8.742187 -685.598 -1.893805 -0.5607951 0.6308685
0.01929617 0.08614787 0.06534997 0.1849877 0.2967494 0.2079534 0.2441944 0.003738524 0.4525231 0.2783898 0.4385785 0.3166879 0.576495 0.6002742 0.3660419 0.554985 0.3046061 0.388903 0.4446609 0.2685199 0.4552657 0.2705317 0.5250252 0.7070548 0.4124792 0.06253646 46.80803 -7.765084 -9.970781 0.3884255 0.4768784 0.9712162 0.5530766 1.027846 1.729197 4.225297 -373.7758 -0.5815672 0.2431413 2.033136
