factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.126129 0.09750904 0.3073664 -0.1739476 -0.5901036 0.406947 0.08179802 0.7610044 0.9349818 -0.6929103 1.366305 -0.02378851 0.7007903 0.5226797 0.3577784 0.6327126 -0.4560818 -1.016725 0.3940306 -0.9720565 -0.4369746 -1.062544 -0.7268321 0.782395 -0.8927801 -0.5724836 1553.734 45.92182 -1810.327 0.3610278 0.4072982 1.40839 -0.5028891 -1.409497 1.122663 -26.51231 5334.379 -3.550514 -2.098179 -4.76723
0.3113128 0.5814711 0.4246444 0.2636327 0.09191396 0.8615876 0.4779744 0.7128094 1.38798 0.1224253 0.9772907 1.325522 1.29912 0.1180493 0.1892612 0.4638268 -1.012444 -1.564747 0.9519184 -0.2986632 0.2127258 -0.7262463 0.1854366 0.729746 0.04392668 -0.7496649 1723.685 -139.1927 -1671.147 -1.958109 -1.372691 0.6475867 -1.488887 -6.339441 -0.7124248 36.0973 1414.484 -1.372181 -2.893752 -10.70926
0.2075571 0.5203742 0.6514921 -0.2805695 -0.1946939 0.4984413 0.3129767 1.056998 1.825113 -0.08219377 1.4257 1.069132 1.021789 -0.5056926 0.5534066 0.6476248 -0.4381707 -0.0778611 1.386483 -0.7207196 0.422793 -0.8259486 -0.6988032 -0.2799153 0.659101 -1.479513 1631.455 -45.32374 -1523.478 -1.739044 -0.326614 -0.9452479 -1.552734 -6.004087 -5.220746 33.81213 517.6393 -7.985504 -1.687571 0.3174236
0.1983066 -0.1464839 0.1543375 0.4370441 0.04115651 0.1841484 0.3731678 0.6942883 2.030977 0.3470842 1.754128 1.696452 0.9381662 1.01809 -0.3337223 0.9075659 -0.8074928 0.9658716 1.271708 -0.6344107 0.1785954 -0.065985 0.5985762 0.3430246 0.5560022 -0.5226785 1518.344 -40.17041 -1464.618 -1.038679 0.6130368 1.635916 -0.949448 1.727806 2.194994 -0.07446421 1074.798 -4.455511 -0.5535589 -12.39207
-0.07198669 0.3896863 0.1901874 0.2215941 -0.03348235 0.3396958 -0.4744739 0.6435659 1.98243 0.7644051 2.35008 1.955377 3.899839 1.867316 0.55986 1.198988 -0.3303389 -0.6159834 1.850415 -0.1795973 0.3389255 0.1945869 0.06984201 0.4950762 0.6542141 0.3658415 1618.575 -133.5735 -1437.183 -0.941362 0.2867521 1.805966 0.5229553 -2.678115 0.638726 5.755828 527.1297 5.388788 0.1128688 -12.56525
-0.2018848 0.1887883 0.2151414 -0.3847055 -0.4379604 0.3107001 -0.2416569 0.8936072 2.071175 0.7331786 2.340224 1.015697 2.20881 0.6119092 1.286315 1.858238 -0.01838045 0.4795857 1.733008 0.8681507 0.4304024 0.3183935 0.3985982 2.68695 1.051302 0.4601888 1680.336 -47.75375 -1590.477 -1.862792 -1.481853 2.025988 -0.6387843 -2.235491 -2.335625 -10.14173 1439.248 0.6192314 -1.046093 0.3619507
-0.1705836 0.2428167 -0.3230964 -0.02008724 -0.2004568 -0.1610016 -0.404724 0.8162014 2.269045 0.61952 2.006642 1.590422 3.474346 0.7802583 1.06324 0.7924822 0.403569 1.252419 2.313654 1.252963 1.067467 0.2490114 1.286099 0.8516002 0.825339 -0.150692 1623.766 -18.31251 -1482.765 0.8310863 0.5533256 1.873095 0.3291767 -1.850339 -3.55957 56.03088 1044.664 -3.77119 0.7805709 7.907175
0.191536 -0.02272336 -0.02981725 -0.3915714 -0.8531108 0.8650311 -0.04763237 0.7775507 2.218582 0.591323 1.230995 1.744512 0.5522482 0.2794592 0.4873478 0.9333727 0.02684659 0.5355864 2.201931 1.541196 0.3510586 0.6560637 0.3747105 1.840101 1.03818 -0.8049053 1712.906 -57.49418 -1763.862 -0.1937869 2.493584 2.941472 1.771858 1.873005 0.9468709 22.06904 2661.445 -7.763069 0.8177328 -1.857958
-0.08491388 -0.02560557 -0.1093145 -0.2763488 -0.1780552 0.7038624 -0.06495875 0.6125867 1.865516 0.4370454 1.500986 1.742431 2.362448 0.5295361 0.07503916 0.5613122 -1.070216 0.8564323 1.332095 0.5616487 0.5559774 -0.3399772 -0.1477876 0.9607692 0.6193387 0.5689508 2184.686 -19.00386 -2071.351 -1.305004 0.3098096 1.659765 -0.02488306 -2.756654 1.977181 46.46189 859.5337 -0.5275901 1.145755 -0.9023058
0.08512667 0.4652857 0.5152174 -0.2099922 -0.4297402 0.2906966 -0.3429995 0.7638299 2.260224 0.568811 2.442014 1.653371 3.160849 0.6015111 1.515886 1.580854 -0.3737281 1.689283 2.147611 -0.02435986 1.219941 0.07086014 -0.2980359 1.262589 0.5427339 0.7029386 2209.188 -50.01515 -2106.984 -0.5548634 0.004829442 1.224189 -2.827951 -0.6829849 -1.49431 63.02421 2143.85 0.8571449 -1.286141 -9.24965
0.006782057 0.04750937 0.3094824 -0.7445099 -1.101432 0.4297988 -0.6983677 0.5613579 1.965028 0.819437 2.342079 2.026795 3.683821 1.239921 0.945925 1.6782 -0.3947626 1.597514 1.76536 -0.5854432 1.677408 0.7102945 0.716213 2.159843 0.8798625 0.5966646 2324.364 5.362211 -1775.421 -0.53766 0.3438881 1.023377 0.9008749 -5.153635 1.362994 35.33331 -4463.379 1.581701 1.120126 -9.761223
0.08587278 0.2324192 0.1976291 -0.2900948 0.01472147 0.4913307 -0.02150403 0.6386216 2.48235 0.8132396 2.459563 1.648166 1.98233 1.679322 1.097298 0.9279123 -0.5716389 1.835124 1.997847 -0.4214104 0.9604271 0.9792227 0.2653802 1.164797 0.9956925 0.262809 2246.424 -34.47795 -1682.649 -0.3597693 0.6196639 2.619326 0.2221235 -6.185931 0.1284107 11.52687 -3175.522 7.279847 -2.444961 -1.028748
0.4105251 0.2950898 0.3627314 -0.3838723 -0.5823005 0.4322335 0.05094659 0.7670858 2.531441 1.425437 2.513242 1.822853 1.052009 2.13277 -0.4312328 1.735415 0.1901787 2.079313 2.455493 2.011287 1.0597 0.9354597 1.552961 1.072931 0.8401537 0.05667237 2324.045 26.25996 -1742.889 -0.6722157 0.2201455 2.417788 0.7692656 3.854827 -1.90799 28.87705 -4110.848 4.418478 1.32131 -19.16303
-0.08162917 0.1858902 0.2244292 0.3988399 0.02769241 0.3519856 0.02033093 0.576611 2.474733 0.6422888 2.85946 1.375089 0.8622103 0.9501346 -0.3324572 1.980251 1.679237 2.112756 2.179233 0.4482064 1.264842 0.5160799 1.017356 1.660753 0.833773 0.3631324 1701.475 -87.33232 -1367.6 -0.1208484 1.964545 3.100625 1.208706 0.7572283 3.44577 38.51575 -1680.993 -14.26776 1.836227 -10.87978
0.462575 0.3895927 -0.3037231 -0.08000382 -0.1258187 0.5260272 0.4297886 0.8291165 2.153536 0.7903192 1.853994 1.471572 1.031776 1.354951 0.5163772 1.481467 2.037363 1.302353 1.703697 0.2290068 0.6957446 0.3047865 0.6817979 1.334168 1.207263 -0.02712065 1702.603 -173.4039 -1489.086 0.1804563 0.3781752 2.558327 0.5529863 1.051342 4.754789 15.96017 1107.155 1.065229 0.04863948 -22.30297
-0.4457498 0.2533828 -0.01809088 0.2577082 -0.2487728 0.7797862 0.01879062 0.7407534 2.355378 1.577794 2.326199 2.203724 1.449891 1.760035 0.7789577 2.411888 1.389404 1.021013 1.781705 0.8650375 1.527591 0.7279629 0.9583445 1.403471 1.166449 0.5171971 1532.558 -77.36939 -1328.039 -0.9632552 -0.9141377 1.574241 -0.0994441 1.615148 0.2495487 44.01578 -448.4316 0.3887884 -1.656134 -23.97425
-0.1274148 0.09039283 0.02082249 -0.6122017 -0.7393684 0.1778971 -0.1334885 0.6810445 2.469857 0.8667118 2.254073 2.861635 2.245283 1.404562 1.067551 1.799593 -0.1715716 1.859245 2.836325 0.001013048 1.496353 0.7763417 0.6334455 2.202308 1.2191 2.460102 1613.916 -117.7628 -1297.796 1.13017 1.464 2.222301 0.3776962 4.226738 4.78586 39.04275 -1699.755 -2.971066 -0.09252244 -5.676433
0.5884556 -0.02643776 -0.004641678 0.1759628 0.09814063 0.2715614 0.2823087 0.6224858 2.011277 0.4138772 1.885622 1.801744 2.0171 0.7274475 0.8545375 1.229999 1.131443 0.5699863 2.51721 1.231098 0.8677119 0.6841459 0.5050893 1.946683 0.8549813 0.07423925 1528.253 -195.0163 -1238.296 1.128042 0.3295702 3.044582 0.594785 2.080992 4.03703 -31.51499 -79.56974 -5.585579 -0.5767025 -3.027239
0.07592 0.375575 0.4951589 0.5335483 0.09835644 0.7128223 0.1092026 0.7942926 1.592458 0.1320465 1.626004 1.268778 -0.3697398 1.302892 -0.78062 1.302391 -0.4458098 0.06509116 1.013603 -0.9446644 0.1421296 0.1320071 0.1670502 1.497081 0.6705506 -1.227475 1421.274 -131.6304 -1194.983 -0.1445455 1.114067 1.229523 0.3829961 2.095409 4.143985 -21.75754 -101.8073 -10.69235 -1.853418 -15.5647
0.3085307 0.2777624 0.1459813 0.226133 0.004354243 0.2909502 -0.2751411 0.7624953 1.919291 0.9041992 2.090858 1.592737 3.025051 1.455816 1.126475 1.544775 2.34913 0.7569328 1.593936 -1.168399 1.25531 0.396938 0.1996001 2.581502 0.7210655 -0.04622932 1334.053 -18.65333 -1180.594 -1.343784 -0.1044593 1.861366 -1.801763 1.216898 -5.620999 -7.361603 -357.3444 4.291373 0.07705957 -17.53736
