factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
1.167166 -1.62415 -1.672948 -2.674643 -3.321907 -1.08648 -0.6854046 -0.2235784 3.042663 1.811454 3.520962 3.526973 2.328807 1.548053 -0.2610333 2.719463 0.7122109 3.987305 3.519658 0.8543516 3.718129 1.741139 3.323386 3.042062 2.608512 1.086861 89651.39 -20.54988 -27460.49 2.85638 3.090286 3.421198 -0.08406599 0.7858677 -5.209522 11.29726 40608.02 -98786.4 10.01747 12.53438
1.647289 -2.197949 -1.194413 -2.910976 -3.506273 -1.7709 -0.757468 0.02845603 3.434258 1.954504 2.269341 2.734674 1.21486 2.014672 0.8550178 2.096673 1.990485 3.18026 3.424702 2.271951 4.077738 2.48511 2.670861 1.226342 3.41018 2.099957 -50100.01 55.39642 116959.9 1.945603 3.786467 4.132589 2.181284 3.073155 -4.731237 27.89616 179520.1 -62060.59 7.493465 72.83524
1.371592 -1.11032 -1.774697 -2.750858 -4.239607 -1.895637 -1.199742 0.0461442 4.054338 2.700713 3.590674 4.39925 3.07071 1.795245 0.8490736 2.706804 1.750303 4.414473 3.887155 1.860014 3.600639 3.062143 2.822849 2.377713 3.588525 2.442794 -144169.2 8.577374 57484.45 -0.7041894 1.675845 2.85019 -0.3858904 -1.276413 -16.16168 24.21799 -5353.122 28976.66 6.53775 94.50432
0.9199557 -2.16061 -2.212199 -3.620472 -3.581689 -1.957299 -1.521488 0.4339782 3.304992 2.636226 3.359663 2.372751 0.02736663 1.94936 -0.2548036 2.598624 2.775835 6.213918 2.879008 -0.9082414 3.321358 3.24095 2.711044 0.7435579 2.989892 0.8694171 180443.3 -69.41567 -47529.69 1.684377 7.318966 5.532961 1.394952 7.52801 3.382335 7.01318 106456.3 110757.2 7.433463 59.23348
1.448432 -2.284286 -2.064436 -2.901327 -3.850511 -1.467503 -1.143671 0.3560764 3.782274 1.192793 2.441715 2.53547 1.932985 2.656414 2.422183 2.209274 0.755484 4.497417 3.317559 0.2632168 3.480368 2.274354 4.682907 4.004495 3.645151 2.025255 1665.495 -29.21221 12638.72 0.9629347 0.8218764 3.384485 0.05956384 3.609573 -5.065836 17.08191 -58046.33 108735.8 6.617679 4.105441
1.09384 -2.120391 -2.215993 -3.329748 -4.361275 -2.070321 -1.48165 0.0596253 3.483145 2.580199 4.218606 2.882926 1.693276 1.743993 -1.339445 2.994455 -0.3568358 2.111679 3.517977 -0.4843841 3.787866 2.684654 4.458015 3.960244 3.831627 2.399178 15366.39 -46.51558 -171896.4 3.699458 3.413062 2.726709 0.2125093 2.152694 -0.2544456 22.62683 82369.96 59532.14 9.118535 26.53649
1.518617 -2.221291 -1.826582 -3.245102 -3.659553 -1.572538 -1.597019 0.303633 3.139113 1.636265 3.138047 3.140537 1.769659 2.35069 -0.5284611 2.042707 1.039735 2.912836 3.257112 0.4349981 2.837062 2.757754 2.574323 2.618593 2.909164 -0.1905076 -16691.08 13.53706 115749.8 3.359388 5.578883 2.254288 -1.709839 6.594884 -2.99033 17.11443 156180 -49885.07 7.317593 0.4445299
1.434907 -1.352948 -1.247844 -2.827138 -3.413983 -1.566173 -0.3346653 0.6953249 3.834176 1.639062 3.246728 2.131083 2.516035 1.424606 1.923109 2.227705 1.870525 5.7101 3.701948 -1.219572 3.974956 2.335547 3.465016 1.770322 3.436764 2.576692 194684.1 10.68993 37310.5 4.549036 3.615811 3.162864 -1.576257 3.666417 -5.237118 17.78685 -31904.18 40996.77 6.871374 20.74763
1.352549 -1.714686 -2.26662 -3.209691 -3.882444 -1.811427 -1.750438 0.2387015 4.294234 2.637229 4.645008 3.577827 3.894292 2.676378 -0.2173768 3.488451 0.4114531 4.492905 3.402447 2.68266 3.698115 3.165767 4.290555 3.15408 3.941758 1.09888 -31190.76 -16.83393 148962.1 2.980864 4.574118 1.987181 2.008535 5.097661 -1.682755 7.359713 -124488.7 -63296.49 11.74529 -123.0126
2.019403 -1.578654 -0.8031481 -3.577851 -3.703987 -2.043628 -0.8883443 0.1381468 4.202639 2.568614 3.037437 2.638041 2.321668 3.64106 1.834291 2.761521 1.346332 4.427038 4.339128 -1.341991 3.810586 2.96099 4.842201 2.320029 3.543997 2.914663 -104206.4 -10.9412 233135.2 1.133194 4.599471 4.316871 -1.281666 1.610303 -8.212837 12.5683 -164626 -13229.61 3.947007 -18.1136
